# ------------------------------------------------------------------------------
# This file is part of a Docalist plugin.
#
# Copyright (C) 2012-2015 Daniel Ménard
#
# For copyright and license information, please view the
# LICENSE file that was distributed with this source code.
#
# @author Daniel Ménard <daniel.menard@laposte.net>
# ------------------------------------------------------------------------------
#
# ------------------------------------------------------------------------------
# relators.txt
#
# Ce fichier a été généré automatiquement à partir des données RDF disponibles
# à l'adresse http://id.loc.gov/vocabulary/relators
#
# Licence : "The Library of Congress has prepared this vocabulary terminology
#            system and is making it available as a public domain data set".
#
# Date de génération : 18/02/2015 17:56:14
#
# La table est triée par codes croissants. Les non-descripteurs (les entrées 
# qui n'ont pas de code) apparaissent juste après le descripteur auquel ils 
# sont rattachés (cf. script lc-autorithy.php).
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HS
aui;"Author of introduction, etc.";;;;;"A person or organization responsible for an introduction, preface, foreword, or other critical introductory matter, but who is not the chief author";;"2013-05-15:modified
1970-01-01:new"
aus;Screenwriter;;;;;"An author of a screenplay, script, or scene";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
;"Author of screenplay, etc.";aus;;;;;;
aut;Author;;;;;"A person, family, or organization responsible for creating a work that is primarily textual in content, regardless of media type (e.g., printed text, spoken word, electronic text, tactile text) or genre (e.g., poems, novels, screenplays, blogs). Use also for persons, etc., creating a new work by paraphrasing, rewriting, or adapting works by another creator such that the modification has substantially changed the nature and content of the original or changed the medium of expression";"changed MARC def";"2013-05-15:modified
1970-01-01:new"
;"Joint author";aut;;;;;;
bdd;"Binding designer";;;;;"A person or organization responsible for the binding design of a book, including the type of binding, the type of materials used, and any decorative aspects of the binding";;"2013-05-15:modified
1970-01-01:new"
;"Designer of binding";bdd;;;;;;
bjd;"Bookjacket designer";;;;;"A person or organization responsible for the design of flexible covers designed for or published with a book, including the type of materials used, and any decorative aspects of the bookjacket";;"2013-05-15:modified
1970-01-01:new"
;"Designer of bookjacket";bjd;;;;;;
bkd;"Book designer";;;;;"A person or organization involved in manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used";;"2013-05-15:modified
1970-01-01:new"
;"Designer of book";bkd;;;;;;
;"Designer of e-book";bkd;;;;;;
bkp;"Book producer";;;;;"A person or organization responsible for the production of books and other print media";;"2013-05-15:modified
1970-01-01:new"
;"Producer of book";bkp;;;;;;
blw;"Blurb writer";;;;;"A person or organization responsible for writing a commendation or testimonial for a work, which appears on or within the publication itself, frequently on the back or dust jacket of print publications or on advertising material for all media";;"2013-05-15:modified
1970-01-01:new"
bnd;Binder;;;;;"A person who binds an item";"changed MARC def";"2013-05-15:modified
1970-01-01:new"
bpd;"Bookplate designer";;;;;"A person or organization responsible for the design of a book owner's identification label that is most commonly pasted to the inside front cover of a book";;"2013-05-15:modified
1970-01-01:new"
brd;Broadcaster;;;;;"A person, family, or organization involved in broadcasting a resource to an audience via radio, television, webcast, etc.";;2013-05-15:new
brl;"Braille embosser";;;;;"A person, family, or organization involved in manufacturing a resource by embossing Braille cells using a stylus, special embossing printer, or other device";;2013-05-15:new
bsl;Bookseller;;;;;"A person or organization who makes books and other bibliographic materials available for purchase. Interest in the materials is primarily lucrative";;"2013-05-15:modified
1970-01-01:new"
cas;Caster;;;;;"A person, family, or organization involved in manufacturing a resource by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold";;2013-05-15:new
ccp;Conceptor;;;;;"A person or organization responsible for the original idea on which a work is based, this includes the scientific author of an audio-visual item and the conceptor of an advertisement";;"2013-05-15:modified
1970-01-01:new"
chr;Choreographer;;;;;"A person responsible for creating or contributing to a work of movement";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
cli;Client;;;;;"A person or organization for whom another person or organization is acting";;"2013-05-15:modified
1970-01-01:new"
cll;Calligrapher;;;;;"A person or organization who writes in an artistic hand, usually as a copyist and or engrosser";;"2013-05-15:modified
1970-01-01:new"
clr;Colorist;;;;;"A person or organization responsible for applying color to drawings, prints, photographs, maps, moving images, etc";;"2013-05-15:modified
1970-01-01:new"
clt;Collotyper;;;;;"A person, family, or organization involved in manufacturing a manifestation of photographic prints from film or other colloid that has ink-receptive and ink-repellent surfaces";;"2013-05-15:modified
1970-01-01:new"
cmm;Commentator;;;;;"A performer contributing to a work by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
cmp;Composer;;;;;"A person, family, or organization responsible for creating or contributing to a musical resource by adding music to a work that originally lacked it or supplements it";"Changed MARC def; combines RDA terms";"2013-05-15:modified
1970-01-01:new"
cmt;Compositor;;;;;"A person or organization responsible for the creation of metal slug, or molds made of other materials, used to produce the text and images in printed matter";;"2013-05-15:modified
1970-01-01:new"
;Typesetter;cmt;;;;;;
cnd;Conductor;;;;;"A performer contributing to a musical resource by leading a performing group (orchestra, chorus, opera, etc.) in a musical or dramatic presentation, etc.";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
cng;Cinematographer;;;;vdg;"A person in charge of photographing a motion picture, who plans the technical aspets of lighting and photographing of scenes, and often assists the director in the choice of angles, camera setups, and lighting moods. He or she may also supervise the further processing of filmed material up to the completion of the work print. Cinematographer is also referred to as director of photography. Do not confuse with videographer";"Changed MARC def (FIAF); RDA uses for videographer and MARC differentiates (confirmed with Andrea Leigh)";"2013-05-15:modified
1970-01-01:new"
;"Director of photography";cng;;;;;;
cns;Censor;;;;;"A person or organization who examines bibliographic resources for the purpose of suppressing parts deemed objectionable on moral, political, military, or other grounds";"Changed MARC def (not RDA)";"2013-05-15:modified
1970-01-01:new"
;Bowdlerizer;cns;;;;;;
;Expurgator;cns;;;;;;
coe;Contestant-appellee;;;;;"A contestant against whom an appeal is taken from one court of law or jurisdiction to another to reverse the judgment";;"2013-05-15:modified
1970-01-01:new"
col;Collector;;;;;"A curator who brings together items from various sources that are then arranged, described, and cataloged as a collection. A collector is neither the creator of the material nor a person to whom manuscripts in the collection may have been addressed";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
com;Compiler;;;;edc;"A person, family, or organization responsible for creating a new work (e.g., a bibliography, a directory) through the act of compilation, e.g., selecting, arranging, aggregating, and editing data, information, etc";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
con;Conservator;;;;;"A person or organization responsible for documenting, preserving, or treating printed or manuscript material, works of art, artifacts, or other media";;"2013-05-15:modified
1970-01-01:new"
;Preservationist;con;;;;;;
cor;"Collection registrar";;;;;"A curator who lists or inventories the items in an aggregate work such as a collection of items or works";;2013-05-15:new
cos;Contestant;;;;;"A person(s) or organization who opposes, resists, or disputes, in a court of law, a claim, decision, result, etc.";;"2013-05-15:modified
1970-01-01:new"
cot;Contestant-appellant;;;;;"A contestant who takes an appeal from one court of law or jurisdiction to another to reverse the judgment";;"2013-05-15:modified
1970-01-01:new"
cou;"Court governed";;;;;"A court governed by court rules, regardless of their official nature (e.g., laws, administrative regulations)";;2013-05-15:new
cov;"Cover designer";;;;;"A person or organization responsible for the graphic design of a book cover, album cover, slipcase, box, container, etc. For a person or organization responsible for the graphic design of an entire book, use Book designer; for book jackets, use Bookjacket designer";;"2013-05-15:modified
1970-01-01:new"
;"Designer of cover";cov;;;;;;
cpc;"Copyright claimant";;;;;"A person or organization listed as a copyright owner at the time of registration. Copyright can be granted or later transferred to another person or organization, at which time the claimant becomes the copyright holder";;"2013-05-15:modified
1970-01-01:new"
cpe;Complainant-appellee;;;;;"A complainant against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding";;"2013-05-15:modified
1970-01-01:new"
cph;"Copyright holder";;;;;"A person or organization to whom copy and legal rights have been granted or transferred for the intellectual content of a work. The copyright holder, although not necessarily the creator of the work, usually has the exclusive right to benefit financially from the sale and use of the work to which the associated copyright protection applies";;"2013-05-15:modified
1970-01-01:new"
cpl;Complainant;;;;;"A person or organization who applies to the courts for redress, usually in an equity proceeding";;"2013-05-15:modified
1970-01-01:new"
cpt;Complainant-appellant;;;;;"A complainant who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding";;"2013-05-15:modified
1970-01-01:new"
cre;Creator;;;;;"A person or organization responsible for the intellectual or artistic content of a resource";;"2013-05-15:modified
1970-01-01:new"
crp;Correspondent;;;;;"A person or organization who was either the writer or recipient of a letter or other communication";;"2013-05-15:modified
1970-01-01:new"
crr;Corrector;;;;pfr;"A person or organization who is a corrector of manuscripts, such as the scriptorium official who corrected the work of a scribe. For printed matter, use Proofreader";;"2013-05-15:modified
1970-01-01:new"
crt;"Court reporter";;;;;"A person, family, or organization contributing to a resource by preparing a court's opinions for publication";;"2014-02-04:Altered definition
2013-05-15:new"
csl;Consultant;;;;;"A person or organization relevant to a resource, who is called upon for professional advice or services in a specialized field of knowledge or training";;"2014-02-04:added to RDA
2013-05-15:modified
1970-01-01:new"
csp;"Consultant to a project";;;;;"A person or organization relevant to a resource, who is engaged specifically to provide an intellectual overview of a strategic or operational task and by analysis, specification, or instruction, to create or propose a cost-effective course of action or solution";;"2013-05-15:modified
1970-01-01:new"
cst;"Costume designer";;;;;"A person, family, or organization that designs the costumes for a moving image production or for a musical or dramatic presentation or entertainment";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
ctb;Contributor;;;;;"A person, family or organization responsible for making contributions to the resource. This includes those whose work has been contributed to a larger work, such as an anthology, serial publication, or other compilation of individual works. If a more specific role is available, prefer that, e.g. editor, compiler, illustrator";"Changed MARC def; Collaborator deprecated in MARC list and reference made";"2013-05-15:modified
1970-01-01:new"
;Collaborator;ctb;;;;;;
cte;Contestee-appellee;;;;;"A contestee against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment";;"2013-05-15:modified
1970-01-01:new"
ctg;Cartographer;;;;;"A person, family, or organization responsible for creating a map, atlas, globe, or other cartographic work";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
ctr;Contractor;;;;;"A person or organization relevant to a resource, who enters into a contract with another person or organization to perform a specific";;"2013-05-15:modified
1970-01-01:new"
cts;Contestee;;;;;"A person(s) or organization defending a claim, decision, result, etc. being opposed, resisted, or disputed in a court of law";;"2013-05-15:modified
1970-01-01:new"
ctt;Contestee-appellant;;;;;"A contestee who takes an appeal from one court or jurisdiction to another to reverse the judgment";;"2013-05-15:modified
1970-01-01:new"
cur;Curator;;;;;"A person, family, or organization conceiving, aggregating, and/or organizing an exhibition, collection, or other item";;"2013-05-15:modified
1970-01-01:new"
;"Curator of an exhibition";cur;;;;;;
cwt;"Commentator for written text";;;;ann;"A person or organization responsible for the commentary or explanatory notes about a text. For the writer of manuscript annotations in a printed book, use Annotator";;"2013-05-15:modified
1970-01-01:new"
dbp;"Distribution place";;;;;"A place from which a resource, e.g., a serial, is distributed";;"2013-05-15:modified
1970-01-01:new"
dfd;Defendant;;;;;"A person or organization who is accused in a criminal proceeding or sued in a civil proceeding";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
dfe;Defendant-appellee;;;;;"A defendant against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in a legal action";;"2013-05-15:modified
1970-01-01:new"
dft;Defendant-appellant;;;;;"A defendant who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in a legal action";;"2013-05-15:modified
1970-01-01:new"
dgg;"Degree granting institution";;;;;"A organization granting an academic degree";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
;"Degree grantor";dgg;;;;;;
dgs;"Degree supervisor";;;;;"A person overseeing a higher level academic degree";;"2014-02-04:added to RDA and MARC
2013-05-15:new"
dis;Dissertant;;;;;"A person who presents a thesis for a university or higher-level educational degree";;"2013-05-15:modified
1970-01-01:new"
dln;Delineator;;;;;"A person or organization executing technical drawings from others' designs";;"2013-05-15:modified
1970-01-01:new"
dnc;Dancer;;;;;"A performer who dances in a musical, dramatic, etc., presentation";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
dnr;Donor;;;;;"A former owner of an item who donated that item to another owner";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
dpc;Depicted;;;;;"An entity depicted or portrayed in a work, particularly in a work of art";"Subject relationship";"2013-05-15:modified
1970-01-01:new"
dpt;Depositor;;;;;"A current owner of an item who deposited the item into the custody of another person, family, or organization, while still retaining ownership";;"2013-05-15:modified
1970-01-01:new"
drm;Draftsman;;;;;"A person, family, or organization contributing to a resource by an architect, inventor, etc., by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, etc";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
;"Technical draftsman";drm;;;;;;
drt;Director;;;;;"A person responsible for the general management and supervision of a filmed performance, a radio or television program, etc.";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
dsr;Designer;;;;;"A person, family, or organization responsible for creating a design for an object";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
dst;Distributor;;;;;"A person or organization that has exclusive or shared marketing rights for a resource";;"2013-05-15:modified
1970-01-01:new"
dtc;"Data contributor";;;;;"A person or organization that submits data for inclusion in a database or other collection of data";;"2013-05-15:modified
1970-01-01:new"
dte;Dedicatee;;;;;"A person, family, or organization to whom a resource is dedicated";"Changed MARC def; Combines RDA dedicatee (work) and dedicatee of item (item)";"2014-02-05:Altered definition
2013-05-15:modified
1970-01-01:new"
;"Dedicatee of item";dte;;;;;;
dtm;"Data manager";;;;;"A person or organization responsible for managing databases or other data sources";;"2013-05-15:modified
1970-01-01:new"
dto;Dedicator;;;;;"A person who writes a dedication, which may be a formal statement or in epistolary or verse form";;"2013-05-15:modified
1970-01-01:new"
dub;"Dubious author";;;;;"A person or organization to which authorship has been dubiously or incorrectly ascribed";;"2013-05-15:modified
1970-01-01:new"
edc;"Editor of compilation";;;;com;"A person, family, or organization contributing to a collective or aggregate work by selecting and putting together works, or parts of works, by one or more creators. For compilations of data, information, etc., that result in new works, see compiler";;2013-05-15:new
edm;"Editor of moving image work";;;;;"A person, family, or organization responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects";;2013-05-15:new
;"Moving image work editor";edm;;;;;;
edt;Editor;;;;;"A person, family, or organization contributing to a resource by revising or elucidating the content, e.g., adding an introduction, notes, or other critical matter. An editor may also prepare a resource for production, publication, or distribution. For major revisions, adaptations, etc., that substantially change the nature and content of the original work, resulting in a new work, see author";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
egr;Engraver;;;;;"A person or organization who cuts letters, figures, etc. on a surface, such as a wooden or metal plate used for printing";;"2013-05-15:modified
1970-01-01:new"
elg;Electrician;;;;;"A person responsible for setting up a lighting rig and focusing the lights for a production, and running the lighting at a performance";;"2013-05-15:modified
1970-01-01:new"
;"Chief electrician";elg;;;;;;
;"House electrician";elg;;;;;;
;"Master electrician";elg;;;;;;
elt;Electrotyper;;;;;"A person or organization who creates a duplicate printing surface by pressure molding and electrodepositing of metal that is then backed up with lead for printing";;"2013-05-15:modified
1970-01-01:new"
eng;Engineer;;;;;"A person or organization that is responsible for technical planning and design, particularly with construction";;"2013-05-15:modified
1970-01-01:new"
enj;"Enacting jurisdiction";;;;;"A jurisdiction enacting a law, regulation, constitution, court rule, etc.";;2013-05-15:new
etr;Etcher;;;;;"A person or organization who produces text or images for printing by subjecting metal, glass, or some other surface to acid or the corrosive action of some other substance";;"2013-05-15:modified
1970-01-01:new"
evp;"Event place";;;;;"A place where an event such as a conference or a concert took place";;"2013-05-15:modified
1970-01-01:new"
exp;Expert;;;;;"A person or organization in charge of the description and appraisal of the value of goods, particularly rare items, works of art, etc.";;"2013-05-15:modified
1970-01-01:new"
;Appraiser;exp;;;;;;
fac;Facsimilist;;;;;"A person or organization that executed the facsimile";;"2013-05-15:modified
1970-01-01:new"
;Copier;fac;;;;;;
fds;"Film distributor";;;;;"A person, family, or organization involved in distributing a moving image resource to theatres or other distribution channels";;2013-05-15:new
fld;"Field director";;;;;"A person or organization that manages or supervises the work done to collect raw data or do research in an actual setting or environment (typically applies to the natural and social sciences)";;"2013-05-15:modified
1970-01-01:new"
flm;"Film editor";;;;;"A person who, following the script and in creative cooperation with the Director, selects, arranges, and assembles the filmed material, controls the synchronization of picture and sound, and participates in other post-production tasks such as sound mixing and visual effects processing.  Today, picture editing is often performed digitally.";"Changed MARC def (FIAF)";"2013-05-15:modified
1970-01-01:new"
;"Motion picture editor";flm;;;;;;
fmd;"Film director";;;;;"A director responsible for the general management and supervision of a filmed performance";;2013-05-15:new
fmk;Filmmaker;;;;;"A person, family or organization responsible for creating an independent or personal film. A filmmaker is individually responsible for the conception and execution of all aspects of the film";;2013-05-15:new
fmo;"Former owner";;;;;"A person, family, or organization formerly having legal possession of an item";"Changed MARC def; in RDA associated with Owner (element) which is broader than MARC owner (which means current owner)";"2013-05-15:modified
1970-01-01:new"
fmp;"Film producer";;;;;"A producer responsible for most of the business aspects of a film";;2013-05-15:new
fnd;Funder;;;;;"A person or organization that furnished financial support for the production of the work";;"2013-05-15:modified
1970-01-01:new"
fpy;"First party";;;;;"A person or organization who is identified as the only party or the party of the first party. In the case of transfer of rights, this is the assignor, transferor, licensor, grantor, etc. Multiple parties can be named jointly as the first party";;"2013-05-15:modified
1970-01-01:new"
frg;Forger;;;;;"A person or organization who makes or imitates something of value or importance, especially with the intent to defraud";;"2013-05-15:modified
1970-01-01:new"
;Copier;frg;;;;;;
;Counterfeiter;frg;;;;;;
gis;"Geographic information specialist";;;;;"A person responsible for geographic information system (GIS) development and integration with global positioning system data";;"2013-05-15:modified
1970-01-01:new"
;"Geospatial information specialist";gis;;;;;;
his;"Host institution";;;;;"An organization hosting the event, exhibit, conference, etc., which gave rise to a resource, but having little or no responsibility for the content of the resource";;"2014-02-05:Altered definition
2013-05-15:new"
hnr;Honoree;;;;;"A person, family, or organization honored by a work or item (e.g., the honoree of a festschrift, a person to whom a copy is presented)";"Changed MARC def; combines RDA honoree and honoree of item";"2013-05-15:modified
1970-01-01:new"
;Honouree;hnr;;;;;;
;"Honouree of item";hnr;;;;;;
hst;Host;;;;;"A performer contributing to a resource by leading a program (often broadcast) that includes other guests, performers, etc. (e.g., talk show host)";;"2013-05-15:modified
1970-01-01:new"
ill;Illustrator;;;;art;"A person, family, or organization contributing to a resource by supplementing the primary content with drawings, diagrams, photographs, etc. If the work is primarily the artistic content created by this entity, use artist or photographer";"Changed MARC def";"2014-02-04:Altered definition
2013-05-15:modified
1970-01-01:new"
ilu;Illuminator;;;;;"A person providing decoration to a specific item using precious metals or color, often with elaborate designs and motifs";;"2013-05-15:modified
1970-01-01:new"
ins;Inscriber;;;;;"A person who has written a statement of dedication or gift";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
inv;Inventor;;;;;"A person, family, or organization responsible for creating a new device or process";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
;"Patent inventor";inv;;;;;;
isb;"Issuing body";;;;;"A person, family or organization issuing a work, such as an official organ of the body";;"2014-02-05:Altered definition
2013-05-15:new"
itr;Instrumentalist;;;;;"A performer contributing to a resource by playing a musical instrument";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
ive;Interviewee;;;;;"A person, family or organization responsible for creating or contributing to a resource by responding to an interviewer, usually a reporter, pollster, or some other information gathering agent";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
ivr;Interviewer;;;;;"A person, family, or organization responsible for creating or contributing to a resource by acting as an interviewer, reporter, pollster, or some other information gathering agent";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
jud;Judge;;;;;"A person who hears and decides on legal matters in court.";;2013-05-15:new
jug;"Jurisdiction governed";;;;;"A jurisdiction governed by a law, regulation, etc., that was enacted by another jurisdiction";;2013-05-15:new
lbr;Laboratory;;;;;"An organization that provides scientific analyses of material samples";;"2013-05-15:modified
1970-01-01:new"
lbt;Librettist;;;;;"An author of a libretto of an opera or other stage work, or an oratorio";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
ldr;"Laboratory director";;;;;"A person or organization that manages or supervises work done in a controlled setting or environment";;"2013-05-15:modified
1970-01-01:new"
;"Lab director";ldr;;;;;;
led;Lead;;;;;"A person or organization that takes primary responsibility for a particular activity or endeavor. May be combined with another relator term or code to show the greater importance this person or organization has regarding that particular role. If more than one relator is assigned to a heading, use the Lead relator only if it applies to all the relators";;"2013-05-15:modified
1970-01-01:new"
lee;Libelee-appellee;;;;;"A libelee against whom an appeal is taken from one ecclesiastical court or admiralty to another to reverse the judgment";;"2013-05-15:modified
1970-01-01:new"
lel;Libelee;;;;;"A person or organization against whom a libel has been filed in an ecclesiastical court or admiralty";;"2013-05-15:modified
1970-01-01:new"
len;Lender;;;;;"A person or organization permitting the temporary use of a book, manuscript, etc., such as for photocopying or microfilming";;"2013-05-15:modified
1970-01-01:new"
let;Libelee-appellant;;;;;"A libelee who takes an appeal from one ecclesiastical court or admiralty to another to reverse the judgment";;"2013-05-15:modified
1970-01-01:new"
lgd;"Lighting designer";;;;;"A person or organization who designs the lighting scheme for a theatrical presentation, entertainment, motion picture, etc.";;"2013-05-15:modified
1970-01-01:new"
lie;Libelant-appellee;;;;;"A libelant against whom an appeal is taken from one ecclesiastical court or admiralty to another to reverse the judgment";;"2013-05-15:modified
1970-01-01:new"
lil;Libelant;;;;;"A person or organization who files a libel in an ecclesiastical or admiralty case";;"2013-05-15:modified
1970-01-01:new"
lit;Libelant-appellant;;;;;"A libelant who takes an appeal from one ecclesiastical court or admiralty to another to reverse the judgment";;"2013-05-15:modified
1970-01-01:new"
lsa;"Landscape architect";;;;;"An architect responsible for creating landscape works. This work involves coordinating the arrangement of existing and proposed land features and structures";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
lse;Licensee;;;;;"A person or organization who is an original recipient of the right to print or publish";;"2013-05-15:modified
1970-01-01:new"
lso;Licensor;;;;;"A person or organization who is a signer of the license, imprimatur, etc";;"2013-05-15:modified
1970-01-01:new"
;Imprimatur;lso;;;;;;
ltg;Lithographer;;;;;"A person or organization who prepares the stone or plate for lithographic printing, including a graphic artist creating a design directly on the surface from which printing will be done.";;"2013-05-15:modified
1970-01-01:new"
lyr;Lyricist;;;;;"An author of the words of a non-dramatic musical work (e.g. the text of a song), except for oratorios";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
mcp;"Music copyist";;;;;"A person who transcribes or copies musical notation";;"2013-05-15:modified
1970-01-01:new"
mdc;"Metadata contact";;;;;"A person or organization primarily responsible for compiling and maintaining the original description of a metadata set (e.g., geospatial metadata set)";;"2013-05-15:modified
1970-01-01:new"
med;Medium;;;;;"A person held to be a channel of communication between the earthly world and a world";;"2014-02-05:Added in RDA and MARC
2013-05-15:new"
mfp;"Manufacture place";;;;;"The place of manufacture (e.g., printing, duplicating, casting, etc.) of a resource in a published form";;"2013-05-15:modified
1970-01-01:new"
mfr;Manufacturer;;;;;"A person or organization responsible for printing, duplicating, casting, etc. a resource";;"2013-05-15:modified
1970-01-01:new"
