# ------------------------------------------------------------------------------
# This file is part of a Docalist plugin.
#
# Copyright (C) 2012-2015 Daniel Ménard
#
# For copyright and license information, please view the
# LICENSE file that was distributed with this source code.
#
# @author Daniel Ménard <daniel.menard@laposte.net>
# ------------------------------------------------------------------------------
#
# ------------------------------------------------------------------------------
# marc21-relators_fr.txt
#
# Ne pas modifier directement cette table, utiliser le fichier de travail ODS
# qui figure dans ../not-used.
#
# Initiallement, ce fichier était basé sur les données disponibles sur la page 
# http://www.lac-bac.gc.ca/marc/040010-220-f.html
#
# Depuis, de nombreuses erreurs ont été corrigées et la majorité des libellés
# et des descriptions ont été ré-écrits (traduction humaine, pas de traduction
# automatique !).
#
# Date de génération : 14/03/2014 17:30:45
# Historique :
# - 18/03/14, DM Ajout des codes win et wpr qui figurent dans la version en 
#                anglais, traduction des libellés et des définitions.
# - 18/03/14, DM Correction des codes ctb (contributeur) et clb (collaborateur).
#                Le code clb est maintenant deprecated (use ctb).
# - 26/09/14, DM On avait deux fois la ligne ctb.
#                (https://github.com/daniel-menard/prisme/issues/189)
# - 04/03/15, DM Remaniement complet de la table
#             - travail effectué du 18/02 au 04/03
#             - tri dans le même ordre que la table EN pour pouvoir comparer
#             - création du fichier de travail ODS
#             - traduction manuelle de tous les libellés/descriptions (plusieurs
#               des traductions d'origine étaient incompréhensibles ou 
#               inutilement compliquées)
#             - ajout de tous les codes ajoutés en 2014 dans la table EN et qui
#               ne figuraient pas encore dans la table FR 
#               (https://github.com/daniel-menard/prisme/issues/166)
#             - traduction des libellés et des descriptions des nouveaux codes
#             - correction de nombreuses erreurs (le fichier ODS permet de les 
#               détecter) : libellés en double, sens différent de ce que disait 
#               la table EN, non-descripteur sans USE, etc.)
#             - Au final, au 04/03/15 la table FR est parfaitement synchro
#               avec la table EN.
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HS
ape;Intimé;;;;;Une personne ou un organisme contre laquelle un appel est interjeté.;MARC had more specific roles;2013-05-15:new
apl;Appelant;;;;;Une personne ou un organisme qui fait appel de la décision d'un tribunal.;MARC had more specific roles;2013-05-15:new
app;Candidat;;;;;Une personne ou un organisme responsable de la soumission d'une demande ou qui bénéficiera du résultat de la demande (allocation de droits, récompense, titre, promotion...);;"2013-05-15:modified
1970-01-01:new"
aqt;Auteur mentionné dans une citation ou des extraits de textes;;;;;Une personne dont le travail est largement mentionné dans des citations ou des extraits de textes tirés d'une œuvre et qui n'y a pas directement contribué. On trouve ce genre de citations dans les catalogues d'exposition, les collections de photographies, etc.;;"2013-05-15:modified
1970-01-01:new"
arc;Architecte;;;;;Une personne, un groupe, ou un organisme responsable de la création d'une conception architecturale, y compris la représentation graphique destinée à montrer comment un bâtiment, etc., se présentera une fois construit. Il supervise également la construction de structures,;changed MARC def;"2013-05-15:modified
1970-01-01:new"
ard;Directeur artistique;;;;;Une personne responsable du contrôle de l'élaboration du style artistique d'une production, y compris le choix des œuvres qui sont présentées ainsi que la sélection du personnel de la production.;;"2013-05-15:modified
1970-01-01:new"
arr;Arrangeur;;;;cmp;Une personne qui transcrit une composition musicale pour un autre instrument que celui pour lequel la composition était destinée. Dans un arrangement l'essence musicale demeure en principe inchangée. Pour des modifications plus conséquentes qui aboutissent à la création d'une nouvelle œuvre, voir compositeur (cmp).;"changed MARC def; changed RDA term";"2013-05-15:modified
1970-01-01:new"
;Arrangeur musical;arr;;;;;;
art;Artiste;;;;;Une personne, un groupe ou un organisme responsable de la conception et de la création d'une œuvre graphique original (designer, peintre, dessinateur...) Pour désigner l'auteur des illustrations qui figurent dans un livre, utilisez de préférence illustrateur (ill).;"changed MARC def; Relator term ""Graphic technician"" (coded [grt]) used before March 1988 only";"2013-05-15:modified
1970-01-01:new"
;Graphiste;art;;;;;;
asg;Cessionnaire;;;;;Une personne ou un organisme à qui le droit d'impression ou d'édition a été cédé.;;"2013-05-15:modified
1970-01-01:new"
asn;Nom associé;;;;;Une personne ou un organisme qui est associé ou que l'on trouve dans un ouvrage ou dans une collection. Utilisez ce terme lorsqu'il n'est pas possible d'utiliser les termes ancien propriétaire (fmo) ou d'autres termes indiquant la provenance.;;"2013-05-15:modified
1970-01-01:new"
ato;Auteur de l'autographe;;;;;Une personne dont la signature manuscrite apparaît sur le document catalogué.;;2013-05-15:new
att;Nom attribué;;;;;Terme utilisé pour relier un auteur, artiste, etc. à un ouvrage lorsqu'une source suffisamment fiable désigne cette personne en tant qu'auteur, créateur, etc.;;"2013-05-15:modified
1970-01-01:new"
;Nom supposé;att;;;;;;
auc;Commissaire-priseur;;;;;Une personne ou un organisme responsable de l'évaluation et de la vente de biens aux enchères publiques, en particulier des livres, des œuvres artistiques, etc.;;"2013-05-15:modified
1970-01-01:new"
aud;Auteur du dialogue;;;;;Une personne ou un organisme responsable du dialogue ou du commentaire parlé d'un scénario ou d'un enregistrement sonore.;;"2013-05-15:modified
1970-01-01:new"
aui;Auteur de l'introduction, etc.;;;;;Une personne ou un organisme responsable de l'introduction, la préface, l'avant-propos, la postface, les notes ou la critique, mais qui n'est pas le principal auteur de l'œuvre.;;"2013-05-15:modified
1970-01-01:new"
aus;Auteur du scénario;;;;;L'auteur du scénario, du script ou de la scène.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
;Auteur du script;aus;;;;;;
aut;Auteur;;;;;Une personne ou un organisme responsable du contenu intellectuel ou artistique d'une œuvre à dominante textuelle, quel que soit le média utilisé (texte imprimé, discours, texte électronique, texte en braille...) ou le genre (poème, nouvelle, scénarios, blogs...) Ce terme peut aussi être utilisé pour décrire un travail de paraphrase, de réécriture ou d'adaptation d'une œuvre d'un autre auteur lorsque les modifications apportées changent de façon substantielle la nature, le contenu ou le support de l'œuvre originale.;changed MARC def;"2013-05-15:modified
1970-01-01:new"
;Coauteur;aut;;;;;;
bdd;Concepteur de reliures;;;;;Une personne ou un organisme responsable de la conception de la reliure d'un ouvrage : type de reliure, matériaux utilisés, design, décorations...;;"2013-05-15:modified
1970-01-01:new"
;Reliures, Concepteur de;bdd;;;;;;
bjd;Concepteur de jaquettes;;;;;Une personne ou un organisme responsable de la conception de la jaquette souple d'un livre : matériaux utilisés, design, décorations...;;"2013-05-15:modified
1970-01-01:new"
;Jaquettes, Concepteur de;bjd;;;;;;
bkd;Dessinateur-maquettiste;;;;;Une personne ou un organisme responsable, pour une édition donnée, de l'ensemble de la conception graphique d'un livre : typographie, mise en page, illustrations, choix des matériaux, procédé d'impression,;;"2013-05-15:modified
1970-01-01:new"
;Concepteur de livres;bkd;;;;;;
;Maquettiste;bkd;;;;;;
bkp;Producteur de livres;;;;;Une personne ou un organisme responsable de la production de livres et d'autres documents imprimés.;;"2013-05-15:modified
1970-01-01:new"
;Livres, Producteur de;bkp;;;;;;
blw;Auteur du texte de présentation;;;;;Une personne ou un organisme responsable de la rédaction d'une appréciation ou d'un témoignage pour une oeuvre, qui apparaît sur ou dans la publication elle-même, souvent sur le dos ou la jaquette pour des documents imprimées, ou sur du matériel promotionnel.;;"2013-05-15:modified
1970-01-01:new"
bnd;Relieur;;;;;Une personne responsable de la reliure d'un document.;changed MARC def;"2013-05-15:modified
1970-01-01:new"
bpd;Concepteur d'ex-libris;;;;;Une personne ou un organisme responsable de la conception de l'ex-libris (marque d'appartenance propre au collectionneur) collé, imprimé ou tamponné, en général sur le contreplat de l'ouvrage (l'intérieur de la couverture).;;"2013-05-15:modified
1970-01-01:new"
brd;Diffuseur;;;;;Une personne, un groupe ou un organisme impliqué dans la diffusion d'une ressource à un public via la radio, la télévision, internet, etc.;;2013-05-15:new
brl;Imprimeur braille;;;;;Une personne, un groupe ou un organisme impliqué dans l'impression en Braille d'un document à l'aide d'un stylet, d'une imprimante spéciale, ou de tout autre dispositif.;;2013-05-15:new
bsl;Libraire;;;;;Une personne ou un organisme qui assure la vente, souvent pour des raisons lucratives, de livres et d'autres types de documents imprimés.;;"2013-05-15:modified
1970-01-01:new"
cas;Fondeur;;;;;Une personne, un groupe ou un organisme impliqué dans la fabrication d'un objet consistant à verser une substance liquide ou fondue dans un moule puis à la laisser se solidifier pour qu'elle prenne la forme du moule.;;2013-05-15:new
ccp;Concepteur;;;;;Une personne ou un organisme responsable de l'idée originale d'une œuvre. Cela comprend également l'auteur scientifique d'un document audiovisuel et le concepteur d'une publicité.;;"2013-05-15:modified
1970-01-01:new"
chr;Chorégraphe;;;;;Une personne ou un organisme qui crée ou contribue à une œuvre de mouvement.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
cli;Client;;;;;Une personne ou un organisme qui reçoit des services d'une autre personne ou d'un autre organisme.;;"2013-05-15:modified
1970-01-01:new"
cll;Calligraphiste;;;;;Une personne ou un organisme qui utilise une écriture artistique pour recopier ou graver un texte.;;"2013-05-15:modified
1970-01-01:new"
clr;Coloriste;;;;;Une personne ou un organisme chargé d'appliquer la couleur sur des dessins, des estampes, des photographies, des cartes, des images animées, etc.;;"2013-05-15:modified
1970-01-01:new"
clt;Responsable de la phototypie;;;;;Une personne ou un organisme qui effectue le tirage de photographie en utilisant la phototypie (impression à l'encre grasse au moyen de gélatine bichromatée)  comme procédé d'impression.;;"2013-05-15:modified
1970-01-01:new"
cmm;Commentateur;;;;;Une personne qui fait l'interprétation, l'analyse ou un commentaire sur le contenu d'un enregistrement, d'un film ou d'un autre type de document audio-visuel.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
cmp;Compositeur;;;;;Une personne, un groupe ou un organisme qui crée ou contribue à une œuvre musicale en y ajoutant de la musique.;"Changed MARC def; combines RDA terms";"2013-05-15:modified
1970-01-01:new"
cmt;Compositeur (Imprimerie);;;;;Une personne ou un organisme responsable de la création des caractères en métal et des moules utilisés pour imprimer le texte et les images d'un document.;;"2013-05-15:modified
1970-01-01:new"
;Composition (Imprimerie);cmt;;;;;;
cnd;Chef d'orchestre;;;;;Une personne qui contribue à une œuvre musicale en assurant la direction des artistes (orchestre, chanteurs, opéra...) lors d'une représentation.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
cng;Directeur de la photographie;;;;vdg;Une personne responsable de la photographie dans un film qui gère les aspects techniques de l'éclairage et de la prise de vue des scènes et assiste souvent le réalisateur dans le choix des angles de vue, la mise en place des caméras et des lumières. Elle peut également superviser d'autres aspects du film jusqu'à sa finalisation. Les termes directeur photo et chef opérateur (de la prise de vue) sont parfois utilisés. Ne pas confondre avec vidéaste.;"Changed MARC def (FIAF); RDA uses for videographer and MARC differentiates (confirmed with Andrea Leigh)";"2013-05-15:modified
1970-01-01:new"
;Chef opérateur de la prise de vue;cng;;;;;;
cns;Censeur;;;;;Une personne ou un organisme qui examine un texte en vue d'expurger ou de censurer les parties jugées contestables d'un point de vue moral, politique, militaire ou autre.;Changed MARC def (not RDA);"2013-05-15:modified
1970-01-01:new"
;Bowdlerisation ;cns;;;;;;
;Responsable de l'expurgation de texte;cns;;;;;;
coe;Contestant-intimé;;;;;Le contestant visé par l'appel interjeté à l'égard de la décision d'une cour de justice ou d'une juridiction, en vue de son infirmation devant une instance supérieure.;;"2013-05-15:modified
1970-01-01:new"
col;Collectionneur;;;;;Une personne qui a réuni des œuvres provenant de sources diverses et qui les a organisé, décrit et catalogué comme une collection. Le collectionneur n'est ni le créateur du matériel, ni la personne à qui les manuscrits de la collection étaient peut-être destinés.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
com;Compilateur;;;;edc;"Une personne, un groupe ou un organisme qui créée un nouveau document (une bibliographie, un répertoire...) en effectuant une compilation de documents existants (recueil, sélection et classement ; ajout de données ou d'informations ; etc.)";Changed MARC def;"2013-05-15:modified
1970-01-01:new"
con;Conservateur;;;;;Une personne ou un organisme responsable de la documentation, de la préservation, ou du traitement de documents imprimés ou manuscrits, d'œuvres d'art, d'artefacts ou d'autres médias.;;"2013-05-15:modified
1970-01-01:new"
;Responsable de la préservation;con;;;;;;
cor;Conservateur de la collection;;;;;Un conservateur qui liste et répertorie les objets et les œuvres qui constituent une collection.;;2013-05-15:new
cos;Contestant;;;;;Une personne, un groupe ou un organisme qui refuse, conteste ou s'oppose à une demande, une décision ou un arrêt émanant d'une cour de justice.;;"2013-05-15:modified
1970-01-01:new"
cot;Contestant-appelant;;;;;Le contestant qui en appelle de la décision d'une cour de justice ou d'une juridiction, en vue de son infirmation, devant une instance supérieure.;;"2013-05-15:modified
1970-01-01:new"
cou;Tribunal régi;;;;;Une cour régie par des règles de procédure, indépendamment de leur nature officielle (par exemple, lois, règlements administratifs).;;2013-05-15:new
cov;Concepteur de la couverture;;;;;Une personne ou un organisme responsable de la conception de la couverture d'un ouvrage, de la pochette d'un disque, d'un étui, d'une boîte, etc. Pour désigner la conception graphique de l'ensemble d'un livre, utiliser Dessinateur-maquettiste (bkd), pour la jaquette d'un livre, utiliser Concepteur de jaquettes (bjd),;;"2013-05-15:modified
1970-01-01:new"
;Concepteur de la pochette;cov;;;;;;
cpc;Demandeur du droit d'auteur;;;;;Une personne ou un organisme mentionné comme détenteur des droits d'auteur au moment de l'enregistrement. Les droits d'auteur peuvent par la suite être accordés ou transférés à une autre personne ou à un autre organisme qui devient alors le titulaire du droit d'auteur (cph).;;"2013-05-15:modified
1970-01-01:new"
cpe;Plaignant-intimé;;;;;Le plaignant visé par l'appel interjeté à l'égard du jugement d'un tribunal en vue de son infirmation, devant une instance supérieure, habituellement dans le cadre d'une procédure fondée sur l'équité.;;"2013-05-15:modified
1970-01-01:new"
cph;Titulaire du droit d'auteur;;;;;Une personne ou un organisme à qui les droits d'auteur et de propriété intellectuelle ont été accordés ou transférés. Le titulaire du droit d'auteur n'est pas obligatoirement le créateur de l'œuvre mais il dispose en général d'un droit exclusif sur la vente et l'usage de l'œuvre à laquelle s'applique la protection du droit d'auteur.;;"2013-05-15:modified
1970-01-01:new"
cpl;Plaignant;;;;;Une personne ou un organisme qui demande au tribunal de lui accorder réparation, habituellement dans le cadre d'une procédure fondée sur l'équité.;;"2013-05-15:modified
1970-01-01:new"
cpt;Plaignant-appelant;;;;;Le plaignant qui en appelle du jugement d'un tribunal ou d'une cour, en vue de son infirmation, devant une instance supérieure, habituellement dans le cadre d'une procédure fondée sur l'équité.;;"2013-05-15:modified
1970-01-01:new"
cre;Créateur;;;;;Une personne ou un organisme responsable du contenu intellectuel ou artistique d'une œuvre.;;"2013-05-15:modified
1970-01-01:new"
crp;Correspondant;;;;;Une personne ou un organisme qui est l'auteur ou le destinataire d'une lettre ou d'une correspondance.;;"2013-05-15:modified
1970-01-01:new"
crr;Réviseur;;;;pfr;Une personne ou un organisme qui révise et corrige un manuscrit Pour du texte imprimé, utiliser Correcteur (pfr).;;"2013-05-15:modified
1970-01-01:new"
crt;Sténographe judiciaire;;;;;Une personne, un groupe ou un organisme qui rapporte et prépare les avis d'un tribunal avant publication.;;"2014-02-04:Altered definition
2013-05-15:new"
csl;Expert-conseil;;;;;Une personne ou un organisme expert sur un sujet à qui on fait appel pour obtenir des conseils ou des services concernant un savoir professionnel spécialisé ou de la formation.;;"2014-02-04:added to RDA
2013-05-15:modified
1970-01-01:new"
csp;Conseiller-expert d'un projet;;;;;Une personne ou un organisme embauché dans le but précis de fournir une vue d'ensemble professionnelle concernant une tâche stratégique ou opérationnelle appuyée par une analyse, des spécifications ou des recommandations afin de créer ou de proposer une démarche ou une solution efficace.;;"2013-05-15:modified
1970-01-01:new"
cst;Costumier;;;;;Une personne, un groupe ou un organisme qui conçoit et fabrique les costumes lors du tournage d'un film ou pour une représentation musicale ou théâtrale ou dans un spectacle.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
ctb;Contributeur;;;;;Une personne, un groupe ou un organisme dont le travail a contribué à une œuvre plus générale telle qu'une anthologie, une publication en série ou une compilation de travaux individuels. Lorsque c'est possible, utilisez un terme plus spécifique tel que éditeur intellectuel (edt), compilateur (com), illustrateur (ill), etc.;"Changed MARC def; Collaborator deprecated in MARC list and reference made";"2013-05-15:modified
1970-01-01:new"
;Collaborateur;ctb;;;;;;
cte;Contesté-intimé;;;;;Le contesté visé par un appel interjeté à l'égard de la décision d'un tribunal ou d'une juridiction, en vue de son infirmation, devant une instance supérieure.;;"2013-05-15:modified
1970-01-01:new"
ctg;Cartographe;;;;;Une personne, un groupe ou un organisme responsable de la création d'une carte, d'un atlas, d'un globe ou de tout autre élément cartographique.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
ctr;Contractant;;;;;Une personne ou un organisme qui s'engage par contrat envers une autre personne ou un autre organisme à exécuter une tâche particulière.;;"2013-05-15:modified
1970-01-01:new"
cts;Contesté;;;;;Une personne ou un organisme qui défend devant une cour de justice une demande, une décision ou un arrêt contesté.;;"2013-05-15:modified
1970-01-01:new"
ctt;Contesté-appelant;;;;;Le contesté qui en appelle de la décision d'un tribunal ou d'une juridiction en vue de son infirmation.;;"2013-05-15:modified
1970-01-01:new"
cur;Commissaire d'exposition;;;;;Une personne, un groupe ou un organisme qui conçoit et organise une exposition.;;"2013-05-15:modified
1970-01-01:new"
;Curateur;cur;;;;;;
cwt;Commentateur du texte;;;;ann;Une personne ou un organisme responsable des commentaires ou des notes explicatives au sujet d'un texte. S'il s'agit de notes manuscrites sur un document imprimé, utilisez le terme annotateur (ann).;;"2013-05-15:modified
1970-01-01:new"
dbp;Canal de distribution;;;;;Canal utilisé pour la distribution d'une ressource (par exemple un grossiste pour un périodique).;;"2013-05-15:modified
1970-01-01:new"
dfd;Défendeur;;;;;Une personne ou une organisation qui est poursuivie ou accusée dans le cadre d'une affaire criminelle ou civile.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
dfe;Défendeur-intimé;;;;;Le défendeur visé par un appel interjeté à l'égard de la décision d'un tribunal ou d'une juridiction, en vue de son infirmation, devant une instance supérieure, habituellement dans le cadre d'un recours fondé sur la loi.;;"2013-05-15:modified
1970-01-01:new"
dft;Défendeur-appelant;;;;;Le défendeur qui en appelle de la décision d'un tribunal ou d'une juridiction, en vue de son infirmation, devant une instance supérieure, habituellement dans le cadre d'un recours fondé sur la loi.;;"2013-05-15:modified
1970-01-01:new"
dgg;Institution émettrice d'un diplôme;;;;;L'institution qui décerne le diplôme pour lequel on a présenté une thèse ou un mémoire.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
;Responsable de l'attribution des grades;dgg;;;;;;
dgs;Superviseur de thèse;;;;;Une personne qui supervise un diplôme universitaire de niveau supérieur.;;"2014-02-04:added to RDA and MARC
2013-05-15:new"
dis;Doctorant;;;;;Une personne qui prépare et soutient une thèse en vue d'obtenir un diplôme universitaire ou d'études supérieures.;;"2013-05-15:modified
1970-01-01:new"
dln;Illustrateur technique;;;;;Une personne ou un organisme qui réalise des dessins techniques à partir de conceptions faites par d'autres personnes.;;"2013-05-15:modified
1970-01-01:new"
dnc;Danseur;;;;;Une personne qui danse dans une représentation musicale, théâtrale, etc.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
dnr;Donateur;;;;;Une personne qui a fait don d'un livre, d'un manuscrit, etc. au propriétaire actuel.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
dpc;Entité illustrée;;;;;Une entité faisant l'objet d'une illustration ou d'un portrait dans une œuvre, particulièrement une œuvre d'art.;Subject relationship;"2013-05-15:modified
1970-01-01:new"
dpt;Déposant;;;;;Une personne ou un organisme qui place du matériel sous la garde d'une bibliothèque ou d'un dépôt d'archives sans en transférer le titre légal.;;"2013-05-15:modified
1970-01-01:new"
drm;Dessinateur industriel;;;;;Une personne, un groupe ou une organisation qui contribue à l’œuvre d'un architecte, d'un inventeur, etc. en réalisant des plans détaillés et des dessins techniques de bâtiments, de bateaux, d'avions, de machines, d'objets, etc.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
;Dessinateur projeteur;drm;;;;;;
drt;Directeur des programmes;;;;;Une personne responsable de l'administration générale et de la supervision d'une œuvre filmée ou d'un programme de radio, de télévision, etc.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
dsr;Designer;;;;;Une personne, un groupe ou un organisme responsable de la conception d'un objet.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
dst;Distributeur;;;;;Une personne ou un organisme qui détient la totalité ou une partie des droits de commercialisation d'une œuvre.;;"2013-05-15:modified
1970-01-01:new"
dtc;Contributeur de données;;;;;Une personne ou un organisme qui fournit des données en vue de leur intégration dans une base de données ou tout autre ensemble de données.;;"2013-05-15:modified
1970-01-01:new"
dte;Dédicataire;;;;;Une personne, un groupe ou un organisme à qui une œuvre est dédicacée,;"Changed MARC def; Combines RDA dedicatee (work) and dedicatee of item (item)";"2014-02-05:Altered definition
2013-05-15:modified
1970-01-01:new"
;Destinataire de la dédicace;dte;;;;;;
dtm;Gestionnaire de données;;;;;Une personne ou un organisme qui gère des bases de données ou d'autres sources de données.;;"2013-05-15:modified
1970-01-01:new"
dto;Auteur d'une dédicace;;;;;La personne qui formule et écrit une dédicace. La dédicace peut prendre la forme d'une formule officielle ou d'une envolée épistolaire ou poétique.;;"2013-05-15:modified
1970-01-01:new"
dub;Auteur douteux;;;;;Une personne ou un organisme à qui la paternité d'une œuvre a été attribuée à tort ou de façon incorrecte.;;"2013-05-15:modified
1970-01-01:new"
edc;Éditeur intellectuel de la compilation;;;;com;Une personne, un groupe, ou un organisme qui contribue à un travail collectif ou une compilation en sélectionnant et en assemblant des travaux ou parties de travaux provenant d'un ou plusieurs auteurs différents. Pour des compilations de données, d'information, etc., qui aboutissent à une nouvelle œuvre, utiliser le terme compilateur (com).;;2013-05-15:new
edm;Chef monteur;;;;;Une personne, un groupe, ou un organisme chargé de couper, d'assembler et d'arranger l'image et le son d'un film, d'une vidéo ou d'un autre type d'œuvre audiovisuelle.;;2013-05-15:new
;Responsable du montage du film;edm;;;;;;
edt;Éditeur intellectuel;;;;;Une personne, un groupe ou un organisme qui contribue à une œuvre en révisant ou en clarifiant le contenu (ajout d'une introduction, de notes ou d'un texte similaire). Elle peut également préparer le texte de façon à ce qu'il soit publié et diffusé. Pour des révisions majeures, des adaptations, etc. qui change de façon conséquente la nature et le contenu de l'oeuvre originale, voir auteur (aut).;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
egr;Graveur;;;;;Une personne ou une organisation qui découpe des lettres, des figures, etc. sur une surface en bois ou en métal utilisée pour l'impression.;;"2013-05-15:modified
1970-01-01:new"
elg;Électricien;;;;;Une personne responsable de la gestion et de l'installation du matériel d'éclairage pour une production et de son utilisation pendant une représentation.;;"2013-05-15:modified
1970-01-01:new"
;Chef électricien;elg;;;;;;
;Électricien maison;elg;;;;;;
;Maître électricien;elg;;;;;;
elt;Galvanotypeur;;;;;Une personne ou un organisme qui crée une surface destinée à la photogravure (galvanotype) en utilisant des techniques de moulage sous pression et d'électrophorèse.;;"2013-05-15:modified
1970-01-01:new"
eng;Ingénieur;;;;;Une personne ou un organisme responsable de la conception technique et de la planification, notamment en matière de constructions.;;"2013-05-15:modified
1970-01-01:new"
enj;Juridiction compétente;;;;;Une juridiction décrétant une loi, un règlement, une constitution, une règle de cour, etc.;;2013-05-15:new
etr;Aquafortiste;;;;;Une personne ou un organisme qui imprime du texte ou des images en soumettant du métal, du verre ou d'autre surface à l'action d'un acide ou à l'action corrosive d'une autre substance (eau-forte, acide nitrique, etc.);;"2013-05-15:modified
1970-01-01:new"
evp;Lieu de l'événement;;;;;Le lieu où un événement comme une conférence ou un concert s'est déroulé.;;"2013-05-15:modified
1970-01-01:new"
exp;Expert en œuvres d'art;;;;;Une personne ou un organisme responsable de la description et de l'évaluation de la valeur d'un bien, notamment d'objets rares, d'œuvres d'art, etc.;;"2013-05-15:modified
1970-01-01:new"
;Estimateur;exp;;;;;;
fac;Copiste;;;;;Une personne ou un organisme qui a produit le fac-similé de l'œuvre;;"2013-05-15:modified
1970-01-01:new"
;Auteur de la copie;fac;;;;;;
